,age,weight,height
Dmitrii Gerasimov,0,0,0
Dmitry Parkhomenko,0,0,0
Dmitry Sukhin,0,0,0
Efim Riabischuk,0,0,0
German Davydov,0,0,0
JorisSegonds,0,0,0
Nikoloz Narmania,0,0,0
Ramil Gaisin,0,0,0
Shamil Magomedov,0,0,0
Vasily Artemyev,35,87,183
Viktor Kononov,0,0,0
Vladimir Geraskin,0,0,0
Carl Rimmer,36,118,183
Coenie Oosthuizen,0,0,0
Franco Mostert,32,112,198
Jean-Luc du Preez,27,112,193
Marco van Staden,27,106,184
Nicolaas Janse van Rensburg,28,112,200
Wilco Louw,28,126,185
Morne Steyn,38,91,184
Peni Tagive,0,0,0
Rosko Speckman,0,0,0
Sanele Nohamba,24,69,166
Sibusiso Nkosi,27,90,181
Wandisile Simelane,24,92,180
Yaw Penxe,25,82,181
Afa Tauli,0,0,0
